i,j,k,cost,amplitude,lower_bound,upper_bound
C67.1947-11-30,OUTBOUND.1947-11-30,1,0,1,0.000,0.000
INBOUND.1947-12-31,C67.1947-12-31,0,0,1,393.086,393.086
C67.1947-12-31,OUTBOUND.1947-12-31,0,0,1,0.000,0.000
C67.1947-12-31,OUTBOUND.1947-12-31,1,0,1,0.000,0.000
INBOUND.1948-01-31,C67.1948-01-31,0,0,1,691.026,691.026
C67.1948-01-31,OUTBOUND.1948-01-31,0,0,1,0.000,0.000
C67.1948-01-31,OUTBOUND.1948-01-31,1,0,1,0.000,0.000
INBOUND.1948-02-29,C67.1948-02-29,0,0,1,829.987,829.987
C67.1948-02-29,OUTBOUND.1948-02-29,0,0,1,0.000,0.000
C67.1948-02-29,OUTBOUND.1948-02-29,1,0,1,0.000,0.000
INBOUND.1948-03-31,C67.1948-03-31,0,0,1,824.160,824.160
C67.1948-03-31,OUTBOUND.1948-03-31,0,0,1,14.753,14.753
C67.1948-03-31,OUTBOUND.1948-03-31,1,0,1,0.000,0.000
INBOUND.1948-04-30,C67.1948-04-30,0,0,1,1522.507,1522.507
C67.1948-04-30,OUTBOUND.1948-04-30,0,0,1,7.989,7.989
C67.1948-04-30,OUTBOUND.1948-04-30,1,0,1,0.000,0.000
