link,i,j,k,cost,amplitude,lower_bound,upper_bound
INBOUND.1921-12-31_HGR08.1921-12-31_2,INBOUND.1921-12-31,HGR08.1921-12-31,2,1000000.0,1.0,0.002,1000000000000.0
INBOUND.1921-12-31_WTP205.1921-12-31_0,INBOUND.1921-12-31,WTP205.1921-12-31,0,-1000000.0,1.0,0.0,9.95
INBOUND.1921-12-31_WTP205.1921-12-31_1,INBOUND.1921-12-31,WTP205.1921-12-31,1,0.0,1.0,9.95,9.95
INBOUND.1921-12-31_WTP205.1921-12-31_2,INBOUND.1921-12-31,WTP205.1921-12-31,2,1000000.0,1.0,9.95,1000000000000.0
INBOUND.1921-12-31_WWP210.1921-12-31_0,INBOUND.1921-12-31,WWP210.1921-12-31,0,-1000000.0,1.0,0.0,3.772
INBOUND.1921-12-31_WWP210.1921-12-31_1,INBOUND.1921-12-31,WWP210.1921-12-31,1,0.0,1.0,3.772,3.772
INBOUND.1921-12-31_WWP210.1921-12-31_2,INBOUND.1921-12-31,WWP210.1921-12-31,2,1000000.0,1.0,3.772,1000000000000.0
INBOUND.1922-01-31_A204.1922-01-31_0,INBOUND.1922-01-31,A204.1922-01-31,0,-1000000.0,1.0,0.0,6.8660000000000005
INBOUND.1922-01-31_A204.1922-01-31_1,INBOUND.1922-01-31,A204.1922-01-31,1,0.0,1.0,6.8660000000000005,6.8660000000000005
INBOUND.1922-01-31_A204.1922-01-31_2,INBOUND.1922-01-31,A204.1922-01-31,2,1000000.0,1.0,6.8660000000000005,1000000000000.0
INBOUND.1922-01-31_A207.1922-01-31_0,INBOUND.1922-01-31,A207.1922-01-31,0,-1000000.0,1.0,0.0,0.129
INBOUND.1922-01-31_A207.1922-01-31_1,INBOUND.1922-01-31,A207.1922-01-31,1,0.0,1.0,0.129,0.129
INBOUND.1922-01-31_A207.1922-01-31_2,INBOUND.1922-01-31,A207.1922-01-31,2,1000000.0,1.0,0.129,1000000000000.0
INBOUND.1922-01-31_C16.1922-01-31_0,INBOUND.1922-01-31,C16.1922-01-31,0,-1000000.0,1.0,0.0,0.0
INBOUND.1922-01-31_C16.1922-01-31_1,INBOUND.1922-01-31,C16.1922-01-31,1,0.0,1.0,0.0,0.0
INBOUND.1922-01-31_C16.1922-01-31_2,INBOUND.1922-01-31,C16.1922-01-31,2,1000000.0,1.0,0.0,1000000000000.0
INBOUND.1922-01-31_C18.1922-01-31_0,INBOUND.1922-01-31,C18.1922-01-31,0,-1000000.0,1.0,0.0,43.56699999999999
INBOUND.1922-01-31_C18.1922-01-31_1,INBOUND.1922-01-31,C18.1922-01-31,1,0.0,1.0,43.56699999999999,43.56699999999999
INBOUND.1922-01-31_C18.1922-01-31_2,INBOUND.1922-01-31,C18.1922-01-31,2,1000000.0,1.0,43.56699999999999,1000000000000.0
INBOUND.1922-01-31_C19.1922-01-31_0,INBOUND.1922-01-31,C19.1922-01-31,0,-1000000.0,1.0,0.0,7.39
INBOUND.1922-01-31_C19.1922-01-31_1,INBOUND.1922-01-31,C19.1922-01-31,1,0.0,1.0,7.39,7.39
INBOUND.1922-01-31_C19.1922-01-31_2,INBOUND.1922-01-31,C19.1922-01-31,2,1000000.0,1.0,7.39,1000000000000.0
INBOUND.1922-01-31_C67.1922-01-31_0,INBOUND.1922-01-31,C67.1922-01-31,0,-1000000.0,1.0,0.0,917.357
INBOUND.1922-01-31_C67.1922-01-31_1,INBOUND.1922-01-31,C67.1922-01-31,1,0.0,1.0,917.357,917.357
INBOUND.1922-01-31_C67.1922-01-31_2,INBOUND.1922-01-31,C67.1922-01-31,2,1000000.0,1.0,917.357,1000000000000.0
INBOUND.1922-01-31_D507.1922-01-31_0,INBOUND.1922-01-31,D507.1922-01-31,0,-1000000.0,1.0,0.0,116.897
INBOUND.1922-01-31_D507.1922-01-31_1,INBOUND.1922-01-31,D507.1922-01-31,1,0.0,1.0,116.897,116.897
INBOUND.1922-01-31_D507.1922-01-31_2,INBOUND.1922-01-31,D507.1922-01-31,2,1000000.0,1.0,116.897,1000000000000.0
INBOUND.1922-01-31_D509.1922-01-31_0,INBOUND.1922-01-31,D509.1922-01-31,0,-1000000.0,1.0,0.0,638.4050000000002
INBOUND.1922-01-31_D509.1922-01-31_1,INBOUND.1922-01-31,D509.1922-01-31,1,0.0,1.0,638.4050000000002,638.4050000000002
INBOUND.1922-01-31_D509.1922-01-31_2,INBOUND.1922-01-31,D509.1922-01-31,2,1000000.0,1.0,638.4050000000002,1000000000000.0
INBOUND.1922-01-31_D517.1922-01-31_0,INBOUND.1922-01-31,D517.1922-01-31,0,-1000000.0,1.0,0.0,45.692
INBOUND.1922-01-31_D517.1922-01-31_1,INBOUND.1922-01-31,D517.1922-01-31,1,0.0,1.0,45.692,45.692
INBOUND.1922-01-31_D517.1922-01-31_2,INBOUND.1922-01-31,D517.1922-01-31,2,1000000.0,1.0,45.692,1000000000000.0
INBOUND.1922-01-31_HGR08.1922-01-31_0,INBOUND.1922-01-31,HGR08.1922-01-31,0,-1000000.0,1.0,0.0,0.003
INBOUND.1922-01-31_HGR08.1922-01-31_1,INBOUND.1922-01-31,HGR08.1922-01-31,1,0.0,1.0,0.003,0.003
INBOUND.1922-01-31_HGR08.1922-01-31_2,INBOUND.1922-01-31,HGR08.1922-01-31,2,1000000.0,1.0,0.003,1000000000000.0
INBOUND.1922-01-31_WTP205.1922-01-31_0,INBOUND.1922-01-31,WTP205.1922-01-31,0,-1000000.0,1.0,0.0,10.109
INBOUND.1922-01-31_WTP205.1922-01-31_1,INBOUND.1922-01-31,WTP205.1922-01-31,1,0.0,1.0,10.109,10.109
INBOUND.1922-01-31_WTP205.1922-01-31_2,INBOUND.1922-01-31,WTP205.1922-01-31,2,1000000.0,1.0,10.109,1000000000000.0
INBOUND.1922-01-31_WWP210.1922-01-31_0,INBOUND.1922-01-31,WWP210.1922-01-31,0,-1000000.0,1.0,0.0,3.772
INBOUND.1922-01-31_WWP210.1922-01-31_1,INBOUND.1922-01-31,WWP210.1922-01-31,1,0.0,1.0,3.772,3.772
INBOUND.1922-01-31_WWP210.1922-01-31_2,INBOUND.1922-01-31,WWP210.1922-01-31,2,1000000.0,1.0,3.772,1000000000000.0
INBOUND.1922-02-28_A204.1922-02-28_0,INBOUND.1922-02-28,A204.1922-02-28,0,-1000000.0,1.0,0.0,9.157
INBOUND.1922-02-28_A204.1922-02-28_1,INBOUND.1922-02-28,A204.1922-02-28,1,0.0,1.0,9.157,9.157
INBOUND.1922-02-28_A204.1922-02-28_2,INBOUND.1922-02-28,A204.1922-02-28,2,1000000.0,1.0,9.157,1000000000000.0
INBOUND.1922-02-28_A207.1922-02-28_0,INBOUND.1922-02-28,A207.1922-02-28,0,-1000000.0,1.0,0.0,4.044
INBOUND.1922-02-28_A207.1922-02-28_1,INBOUND.1922-02-28,A207.1922-02-28,1,0.0,1.0,4.044,4.044
INBOUND.1922-02-28_A207.1922-02-28_2,INBOUND.1922-02-28,A207.1922-02-28,2,1000000.0,1.0,4.044,1000000000000.0
INBOUND.1922-02-28_C16.1922-02-28_0,INBOUND.1922-02-28,C16.1922-02-28,0,-1000000.0,1.0,0.0,85.787
INBOUND.1922-02-28_C16.1922-02-28_1,INBOUND.1922-02-28,C16.1922-02-28,1,0.0,1.0,85.787,85.787
INBOUND.1922-02-28_C16.1922-02-28_2,INBOUND.1922-02-28,C16.1922-02-28,2,1000000.0,1.0,85.787,1000000000000.0
